team,player,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
Knicks,Jalen Brunson,29.49,10.23,22.96,2.7,7.56,6.32,7.72,0.18,1.86,2.04,7.25,0.75,0.05,3.01,2.13
Knicks,Josh Hart,9.37,4.04,8.37,0.55,1.77,0.74,0.98,1.9,6.26,8.15,4.17,0.84,0.09,1.09,2.49
Knicks,Karl-Anthony Towns,26.15,9.39,18.81,2.93,7.33,4.44,5.34,2.89,8.8,11.69,3.59,0.47,0.43,2.94,3.19
Knicks,Mikal Bridges,17.09,6.47,15.11,2.38,6.97,1.77,2.15,0.59,2.92,3.51,3.32,1.12,0.13,1.61,2.11
Knicks,Miles McBride,5.39,1.99,4.95,1.12,3.02,0.28,0.33,0.38,1.45,1.83,2.19,0.56,0.04,0.44,1.06
Knicks,Mitchell Robinson,4.64,2.1,3.39,0.0,0.03,0.43,0.78,3.84,6.6,10.44,0.63,0.47,0.69,0.61,2.86
Knicks,OG Anunoby,16.15,6.11,14.03,2.39,6.87,1.55,1.98,0.96,3.34,4.3,2.27,1.22,0.18,1.69,2.83
Knicks,Precious Achiuwa,1.95,0.87,1.75,0.05,0.19,0.17,0.26,2.12,3.7,5.82,0.63,0.37,0.3,0.32,1.75
Thunder,Aaron Wiggins,10.75,4.21,8.67,1.41,3.73,0.92,1.18,1.17,2.93,4.1,1.99,0.53,0.19,0.7,1.44
Thunder,Alex Caruso,5.27,1.91,4.66,1.0,2.86,0.45,0.55,0.7,2.52,3.22,2.61,1.07,0.12,0.61,1.71
Thunder,Cason Wallace,7.43,2.74,6.66,1.35,3.74,0.6,0.78,0.71,2.08,2.78,2.05,0.93,0.12,0.7,1.44
Thunder,Chet Holmgren,14.27,5.22,10.87,2.02,5.34,1.81,2.41,3.04,7.59,10.64,1.93,0.54,1.42,1.19,2.32
Thunder,Isaiah Hartenstein,7.91,3.53,6.21,0.0,0.13,0.85,1.24,4.21,7.97,12.18,2.99,0.31,0.46,0.93,3.18
Thunder,Isaiah Joe,8.68,2.92,6.98,2.33,5.65,0.5,0.63,0.24,1.27,1.51,1.03,0.46,0.06,0.47,0.87
Thunder,Jalen Williams,20.16,7.71,16.13,1.9,5.14,2.83,3.54,0.95,4.21,5.16,4.87,0.93,0.29,1.99,2.02
Thunder,Luguentz Dort,9.49,3.23,7.7,2.4,5.86,0.62,0.88,1.19,3.38,4.56,1.52,0.93,0.18,0.7,2.58
Thunder,Shai Gilgeous-Alexander,33.86,11.23,22.43,2.23,6.03,9.17,10.18,0.47,3.36,3.83,6.52,1.36,0.36,2.39,2.0
