team,player,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF
Thunder,Shai Gilgeous-Alexander,34,12,17,2,3,8,10,0,6,6,2,1,1,3,2
Thunder,Jalen Williams,12,5,12,1,4,1,2,0,2,2,5,1,0,2,1
Thunder,Chet Holmgren,11,4,13,2,7,1,2,3,8,11,3,1,0,1,1
Thunder,Luguentz Dort,14,5,9,4,5,0,0,1,4,5,0,0,0,1,1
Thunder,Isaiah Hartenstein,6,2,4,0,0,2,2,3,5,8,6,0,0,1,3
Thunder,Cason Wallace,14,5,12,2,8,2,2,1,1,2,3,1,0,0,1
Thunder,Alex Caruso,5,2,4,1,3,0,0,0,3,3,2,1,0,0,2
Thunder,Isaiah Joe,9,3,9,3,6,0,0,0,4,4,2,0,0,0,1
Thunder,Aaron Wiggins,12,3,6,2,4,4,4,0,3,3,1,0,0,1,2
Knicks,Jalen Brunson,31,13,26,4,8,1,2,0,2,2,10,0,1,1,1
Knicks,Karl-Anthony Towns,18,5,17,0,6,8,12,3,9,12,5,1,0,3,3
Knicks,Mikal Bridges,24,9,20,6,11,0,2,3,3,6,3,2,1,1,1
Knicks,OG Anunoby,24,9,16,5,10,1,2,1,4,5,3,0,0,1,1
Knicks,Josh Hart,10,4,10,1,5,1,2,2,8,10,4,0,0,0,4
Knicks,Miles McBride,5,2,5,1,3,0,0,1,2,3,1,1,0,1,3
Knicks,Mitchell Robinson,4,2,2,0,0,0,0,4,7,11,1,0,0,1,2
Knicks,Precious Achiuwa,0,0,1,0,0,0,0,3,2,5,0,0,0,0,2
